pseudotime,pseudotime_index,cluster,pca_comp,value
0.31947902,664,5,0,0.9993587
0.3250713,665,5,0,0.9689494
0.32788643,666,5,0,0.94363385
0.33379212,667,5,0,0.9120578
0.33889386,668,5,0,0.9631124
0.35966438,669,5,0,0.51189506
0.361465,670,5,0,0.49357328
0.36385068,671,5,0,0.58157766
0.37128103,672,5,0,0.513934
0.3746114,673,5,0,0.63397527
0.3780818,674,5,0,0.4009949
0.38257623,675,5,0,0.34413722
0.3858794,676,5,0,0.25310266
0.38689575,677,5,0,0.2107816
0.39107963,678,5,0,0.33859357
0.39932215,679,5,0,0.14008364
0.40389606,680,5,0,0.15759096
0.40493307,681,5,0,0.050129022
0.40806183,682,5,0,0.09611338
0.40907484,683,5,0,-0.13072732
0.4108475,684,5,0,-0.031389393
0.41316986,685,5,0,-0.08216636
0.41670835,686,5,0,-0.11277791
0.4179559,687,5,0,-0.13601972
0.4210905,688,5,0,-0.24318458
0.4212921,689,5,0,-0.033798106
0.42291167,690,5,0,-0.30442154
0.42743686,691,5,0,-0.30475834
0.42783245,692,5,0,-0.33507252
0.42836356,693,5,0,-0.26566678
0.4304844,694,5,0,-0.3048732
0.43130544,695,5,0,-0.36182615
0.43278855,696,5,0,-0.53736675
0.4334783,697,5,0,-0.4118374
0.44256583,698,5,0,-0.49326313
0.44602007,699,5,0,-0.45935416
0.4473985,700,5,0,-0.52713686
0.44781584,701,5,0,-0.6491607
0.44967297,702,5,0,-0.66658974
0.45465595,703,5,0,-0.66210514
0.46067154,704,5,0,-0.8057446
0.4676976,705,5,0,-0.83201456
0.47145623,706,5,0,-0.94095916
0.47799823,707,5,0,-1.1142855
0.47809592,708,5,0,-1.0143412
0.47922197,709,5,0,-1.1125737
0.4889981,710,5,0,-1.3233941
0.49376398,711,5,0,-1.2964147
0.4969428,712,5,0,-1.2351243
0.49827123,713,5,0,-1.3175337
0.50184005,714,5,0,-1.3950223
0.50393045,715,5,0,-1.3663118
0.5150916,716,5,0,-1.535126
0.5204292,717,5,0,-1.3701504
0.5210573,718,5,0,-1.5235947
0.5226173,719,5,0,-1.7008911
0.52691483,720,5,0,-1.7316762
0.5269752,721,5,0,-1.7015133
0.5271715,722,5,0,-1.6943209
0.5275566,723,5,0,-1.5946853
0.53107804,724,5,0,-1.8158649
0.5311333,725,5,0,-1.7003706
0.53566456,726,5,0,-1.7282643
0.5362405,727,5,0,-1.8905109
0.5367654,728,5,0,-1.8765482
0.5437371,729,5,0,-1.969418
0.54658383,730,5,0,-1.8821858
0.54746187,731,5,0,-2.1659985
0.55192465,732,5,0,-2.138144
0.5632145,733,5,0,-2.1085076
0.56492263,734,5,0,-2.2612972
0.56884885,735,5,0,-2.332898
0.57143146,736,5,0,-2.3831067
0.5726982,737,5,0,-2.478761
0.5739387,738,5,0,-2.313658
0.5749665,739,5,0,-2.2916274
0.5770707,740,5,0,-2.5075412
0.5798603,741,5,0,-2.4640095
0.5812634,742,5,0,-2.420482
0.58516747,743,5,0,-2.755675
0.5869231,744,5,0,-2.6028507
0.5877568,745,5,0,-2.5044289
0.5890684,746,5,0,-2.6298018
0.5957076,747,5,0,-2.7074635
0.59688216,748,5,0,-2.7248595
0.59877026,749,5,0,-2.8277364
0.5999444,750,5,0,-2.8304148
0.6013746,751,5,0,-2.808591
0.6048462,752,5,0,-2.886401
0.6078696,753,5,0,-2.9862876
0.61277384,754,5,0,-3.019006
0.6182356,755,5,0,-3.1444416
0.6186464,756,5,0,-3.1757164
0.6228127,757,5,0,-3.2729523
0.62539965,758,5,0,-3.2766728
0.6256511,759,5,0,-3.3357987
0.6264825,760,5,0,-3.3010488
0.6280718,761,5,0,-3.3081129
0.62889254,762,5,0,-3.4126937
0.62892306,763,5,0,-3.4799953
0.6289288,764,5,0,-3.4223087
0.6337474,765,5,0,-3.4514518
0.6348068,766,5,0,-3.53729
0.63572353,767,5,0,-3.5619926
