0,1,2,3,4,5,time,classifier,pseudotime
0.24170591,0.16003266,0.070155755,0.28467,0.028060092,0.21537557,1,c1,0.33379212
0.21072184,0.13518642,0.048296858,0.32740182,0.027172139,0.25122103,3,c1,0.36385068
0.19529143,0.13260101,0.036594912,0.3343271,0.024304437,0.27688104,5,c1,0.38257623
0.1763443,0.11696584,0.034702037,0.3337237,0.022062358,0.31620175,7,c1,0.39932215
0.17838341,0.119435996,0.046534844,0.36835587,0.023462964,0.2638269,9,c1,0.40907484
0.17465319,0.12206185,0.053062957,0.3782159,0.020853966,0.2511521,11,c1,0.4179559
0.16831715,0.13312183,0.047520902,0.393582,0.021730136,0.23572797,13,c1,0.42743686
0.16046764,0.13776593,0.050621025,0.41693118,0.022990983,0.21122329,15,c1,0.43130544
0.15609044,0.1382374,0.06446802,0.43397957,0.02421962,0.18300499,17,c1,0.44602007
0.14787342,0.14371233,0.08629128,0.44844675,0.026126228,0.14754997,19,c1,0.45465595
0.14768082,0.14252125,0.08604446,0.45269173,0.026800755,0.14426096,21,c1,0.47799823
0.14311393,0.13709383,0.09271532,0.46020544,0.025106812,0.14176469,23,c1,0.49376398
0.14517632,0.13807428,0.105691604,0.44676334,0.023105346,0.14118911,25,c1,0.50393045
0.14869925,0.1471828,0.06828367,0.4680222,0.0265176,0.14129451,27,c1,0.5226173
0.14594258,0.14167684,0.052345246,0.47556043,0.024234619,0.16024023,29,c1,0.5275566
0.13907087,0.1388597,0.06217748,0.46553218,0.023063136,0.1712967,31,c1,0.5362405
0.14242232,0.15377128,0.069940455,0.445495,0.023953272,0.16441768,33,c1,0.54746187
0.14935207,0.15687944,0.07010257,0.45576012,0.026292734,0.141613,35,c1,0.56884885
0.14817895,0.14097592,0.042500924,0.47180024,0.02390103,0.17264293,37,c1,0.5749665
0.14344004,0.12561603,0.027350489,0.41162685,0.019773526,0.272193,39,c1,0.58516747
0.14158915,0.1282992,0.02299175,0.4215048,0.022324216,0.26329088,41,c1,0.5957076
0.14532064,0.13921194,0.024148066,0.44599304,0.028817058,0.2165093,43,c1,0.6013746
0.1479164,0.14036906,0.021595726,0.42173433,0.030109495,0.23827495,45,c1,0.6182356
0.15886785,0.14354192,0.028048765,0.43147546,0.027033968,0.21103205,47,c1,0.6256511
0.18112391,0.16972446,0.031393684,0.40562975,0.028207375,0.18392083,49,c1,0.62892306
0.22369432,0.2136024,0.038859744,0.33582824,0.033231054,0.15478426,51,c1,0.63572353
0.2418509,0.22260192,0.038189467,0.30424047,0.043916296,0.14920099,53,c1,0.63723415
0.24381225,0.22391121,0.0391717,0.29746267,0.04699273,0.14864945,55,c1,0.64094335
0.24378835,0.21880938,0.03405068,0.29053256,0.039004184,0.1738148,57,c1,0.64444077
0.25143027,0.22518854,0.036337312,0.27126345,0.04682267,0.16895775,59,c1,0.6473318
0.2550946,0.22941023,0.034437016,0.26080924,0.04959697,0.17065197,61,c1,0.64887655
0.25851375,0.23196508,0.03338167,0.2557592,0.053425588,0.1669547,63,c1,0.650911
0.2591761,0.23129973,0.032077935,0.25126794,0.059870303,0.16630796,65,c1,0.6527983
0.25997072,0.2310805,0.031510804,0.24683274,0.063200854,0.16740438,67,c1,0.6544877
0.25745416,0.2233335,0.02899758,0.24796595,0.06336457,0.17888422,69,c1,0.6558261
0.26238036,0.23272716,0.03447643,0.25347558,0.05961385,0.15732658,71,c1,0.6581294
0.26699224,0.23070274,0.032200605,0.24850653,0.06243511,0.15916277,73,c1,0.66010594
0.2648982,0.2310834,0.028800383,0.24304965,0.064003184,0.16816516,75,c1,0.6610741
0.2700312,0.21998477,0.028190939,0.23032807,0.058146838,0.19331817,77,c1,0.66455066
0.28513426,0.23293996,0.039693985,0.23424737,0.05471309,0.15327136,79,c1,0.6687522
0.29047468,0.23121247,0.040565588,0.22884125,0.05365619,0.1552499,81,c1,0.6723641
0.27828237,0.23158787,0.029557535,0.2404438,0.06302014,0.15710828,83,c1,0.6725976
0.22536312,0.1886519,0.015335349,0.24549398,0.039918397,0.2852372,85,c1,0.6739024
0.069883004,0.021725416,0.00074265926,0.057390057,0.003749549,0.8465093,87,c1,0.67498314
0.13527772,0.1536068,0.009985323,0.41031644,0.14567813,0.14513564,89,c1,0.67604
0.14010125,0.18040241,0.00764986,0.4900666,0.08806163,0.09371826,91,c1,0.67798924
0.09361402,0.13803045,0.0038667356,0.5904852,0.12015138,0.053852223,93,c1,0.6786741
0.074573815,0.09754115,0.0029756352,0.57201463,0.19383126,0.059063487,95,c1,0.6795744
0.081421085,0.09661817,0.003105768,0.54491615,0.21572798,0.058210883,97,c1,0.6799602
0.056874838,0.05582544,0.002044265,0.3814084,0.47716004,0.026686983,99,c1,0.68174076
0.022934712,0.0077138077,0.0008917942,0.04086816,0.9251954,0.0023961277,101,c1,0.6828178
0.022699744,0.0058787717,0.00085340714,0.027958484,0.94102156,0.0015879875,103,c1,0.6845103
0.03354335,0.023637012,0.0016988138,0.12255997,0.8139113,0.0046494654,105,c1,0.68602294
0.01419391,0.12106711,0.001542701,0.75637585,0.102787964,0.0040325425,107,c1,0.6886268
