0,1,2,3,4,5,time,classifier,pseudotime_index,pseudotime
0.23775634,0.1370047,0.06941757,0.2938637,0.035131533,0.2268261,1,c1,1,0.33379212
0.21103893,0.12348028,0.055386733,0.32476908,0.027700348,0.2576246,3,c1,3,0.36385068
0.18285733,0.13479196,0.05942192,0.36231473,0.022195209,0.23841882,5,c1,5,0.38257623
0.16407146,0.13249585,0.05444764,0.38201475,0.021213066,0.24575722,7,c1,7,0.39932215
0.16791072,0.11787547,0.05804058,0.37818208,0.02055427,0.25743684,9,c1,9,0.40907484
0.16485824,0.10673917,0.031371042,0.3174773,0.017082248,0.36247203,11,c1,11,0.4179559
0.15572852,0.09484871,0.022609212,0.27127102,0.012240191,0.44330236,13,c1,13,0.42743686
0.15377939,0.11531054,0.04907361,0.36166906,0.014798955,0.30536842,15,c1,15,0.43130544
0.13130939,0.099173106,0.020055767,0.30125162,0.011942708,0.4362674,17,c1,17,0.44602007
0.18485457,0.21136986,0.061896972,0.37211102,0.036083367,0.1336842,19,c1,19,0.45465595
0.19107181,0.23082109,0.06278687,0.36139065,0.04218765,0.11174201,21,c1,21,0.47799823
0.189091,0.231297,0.063567206,0.36365676,0.050912455,0.10147554,23,c1,23,0.49376398
0.1942307,0.24118142,0.06136556,0.35288474,0.05674195,0.093595564,25,c1,25,0.50393045
0.19780256,0.23851755,0.057513285,0.35001132,0.06514814,0.091007225,27,c1,27,0.5226173
0.19749196,0.24039419,0.054917146,0.3489314,0.07077431,0.08749094,29,c1,29,0.5275566
0.19987386,0.24203996,0.047907572,0.3546233,0.059905246,0.09565017,31,c1,31,0.5362405
0.20428397,0.22899145,0.0470142,0.33983904,0.07222646,0.10764491,33,c1,33,0.54746187
0.18234347,0.2018933,0.037347008,0.32887772,0.06750371,0.18203484,35,c1,35,0.56884885
0.20826635,0.21262288,0.048655804,0.3119402,0.11470167,0.10381308,37,c1,37,0.5749665
0.20878454,0.22320105,0.04317385,0.32914844,0.09690283,0.09878927,39,c1,39,0.58516747
0.20870586,0.22951308,0.043109298,0.3292172,0.087817326,0.10163728,41,c1,41,0.5957076
0.20640004,0.2326308,0.043424003,0.331191,0.080411896,0.105942205,43,c1,43,0.6013746
0.20934571,0.23976918,0.042251997,0.3284927,0.0819101,0.09823029,45,c1,45,0.6182356
0.22650553,0.2119943,0.046725083,0.2789066,0.15771852,0.07814997,47,c1,47,0.6256511
0.24877915,0.17580143,0.04453069,0.20201811,0.2753918,0.053478852,49,c1,49,0.62892306
0.25583532,0.14801034,0.03834199,0.16377191,0.3496796,0.04436087,51,c1,51,0.63572353
0.2601683,0.13772449,0.036543265,0.14693773,0.3779835,0.040642735,53,c1,53,0.63723415
0.25545266,0.15240696,0.039421085,0.17677061,0.3258606,0.05008812,55,c1,55,0.64094335
0.2506718,0.19655679,0.040298674,0.23144796,0.22109893,0.05992576,57,c1,57,0.64444077
0.25509405,0.19254772,0.03731215,0.21804157,0.2432915,0.05371296,59,c1,59,0.6473318
0.24923648,0.20534259,0.038027536,0.2400813,0.20638268,0.06092946,61,c1,61,0.64887655
0.25775328,0.19632031,0.0405538,0.22339757,0.21988973,0.06208532,63,c1,63,0.650911
0.262711,0.19183958,0.039793935,0.21479565,0.22831269,0.06254722,65,c1,65,0.6527983
0.2649483,0.1779228,0.038961086,0.19980286,0.25567207,0.062692925,67,c1,67,0.6544877
0.27816546,0.11713669,0.032716006,0.11876606,0.4138859,0.039329946,69,c1,69,0.6558261
0.29172757,0.14442599,0.03561365,0.13364269,0.35492742,0.03966268,71,c1,71,0.6581294
