0,1,2,3,4,5,time,classifier,pseudotime_index,pseudotime
0.37069166,0.0021917708,0.56845444,0.0021152017,0.053239375,0.0033075742,1,c1,1,0.33379212
0.48024184,0.008142603,0.3794017,0.013643253,0.09714172,0.021428887,3,c1,3,0.36385068
0.45271492,0.017698113,0.3652059,0.027985206,0.09463404,0.04176183,5,c1,5,0.38257623
0.35578653,0.06074905,0.34532106,0.08438,0.07933045,0.07443288,7,c1,7,0.39932215
0.29273227,0.10386347,0.30464184,0.13655001,0.06703204,0.09518035,9,c1,9,0.40907484
0.27182096,0.14470536,0.22725943,0.18524525,0.05836448,0.11260453,11,c1,11,0.4179559
0.25646982,0.17179623,0.17695606,0.21619628,0.052384384,0.12619728,13,c1,13,0.42743686
0.24856345,0.18459177,0.15139626,0.22931361,0.048613913,0.137521,15,c1,15,0.43130544
0.24566728,0.19132595,0.13823718,0.23436452,0.045575157,0.14482985,17,c1,17,0.44602007
0.26354742,0.17889743,0.1079194,0.22241254,0.04752615,0.17969708,19,c1,19,0.45465595
0.25590086,0.18967569,0.09630573,0.23465754,0.044767864,0.17869234,21,c1,21,0.47799823
0.25312197,0.20118994,0.08286365,0.24953921,0.043746542,0.16953875,23,c1,23,0.49376398
0.25706398,0.21199977,0.07213193,0.26013637,0.044580366,0.15408757,25,c1,25,0.50393045
0.25692677,0.21222992,0.06374578,0.2623132,0.045079928,0.15970437,27,c1,27,0.5226173
0.26634416,0.20713663,0.058468603,0.25524005,0.04642204,0.16638847,29,c1,29,0.5275566
0.26425752,0.20987344,0.05182585,0.2601199,0.04776082,0.16616246,31,c1,31,0.5362405
0.26031038,0.2132758,0.053966988,0.26198056,0.045433942,0.16503236,33,c1,33,0.54746187
0.26460057,0.2122341,0.05085762,0.25951958,0.047112707,0.16567545,35,c1,35,0.56884885
0.26544538,0.21166323,0.0465021,0.25982574,0.049048785,0.16751471,37,c1,37,0.5749665
0.2724513,0.20573819,0.042581964,0.25226426,0.052131604,0.1748327,39,c1,39,0.58516747
0.27592537,0.20415811,0.042429794,0.24790175,0.05140893,0.17817606,41,c1,41,0.5957076
0.28930986,0.20540813,0.026907438,0.2543589,0.119413085,0.10460261,43,c1,43,0.6013746
0.28780842,0.20184186,0.023891555,0.24909636,0.14489411,0.09246769,45,c1,45,0.6182356
0.2933777,0.20412172,0.021890752,0.24914196,0.13856414,0.09290377,47,c1,47,0.6256511
0.30240408,0.19111109,0.020406494,0.22869901,0.16679026,0.09058911,49,c1,49,0.62892306
0.315154,0.18614347,0.019883996,0.2153382,0.1647055,0.09877487,51,c1,51,0.63572353
0.32427648,0.18464322,0.020678263,0.20506757,0.16107953,0.10425495,53,c1,53,0.63723415
0.31622282,0.20809095,0.025064953,0.22039938,0.12996255,0.10025933,55,c1,55,0.64094335
0.31277317,0.18420064,0.014996369,0.20933478,0.20178272,0.07691235,57,c1,57,0.64444077
